21	6.349e-05
22	9.581e-05
23	1.098e-04
24	1.190e-04
25	1.245e-04
26	1.772e-04
27	2.728e-04
28	3.073e-04
29	3.853e-04
30	6.247e-04
31	7.330e-04
32	9.195e-04
33	1.659e-03
34	1.838e-03
35	1.716e-03
36	3.732e-03
37	4.607e-03
38	4.106e-03
39	8.149e-03
40	9.986e-03
41	9.742e-03
42	9.932e-03
43	2.578e-02
44	2.839e-02
45	2.731e-02
46	6.360e-02
47	6.316e-02
48	6.410e-02
49	6.367e-02
50	1.492e-01
55	9.096e-01
60	5.025e+00
65	2.694e+01
70	1.224e+02
75	2.636e+02
80	5.658e+02
85	1.125e+03
90	2.162e+03
95	1.222e+04
