1	2.110e-05
2	9.580e-07
3	8.830e-07
4	9.140e-07
5	8.760e-07
6	8.930e-07
7	1.492e-06
8	1.198e-06
9	1.272e-06
10	1.329e-06
11	3.706e-06
12	1.097e-06
13	1.533e-06
14	1.890e-06
15	1.585e-06
16	1.285e-06
17	1.480e-06
18	1.557e-06
19	1.421e-06
20	1.688e-06
21	3.768e-06
22	2.001e-05
23	2.225e-05
24	2.175e-06
25	2.386e-06
26	1.558e-06
27	2.047e-06
28	1.956e-06
29	1.331e-06
30	1.530e-06
31	1.484e-06
32	1.220e-06
33	2.209e-06
34	1.773e-06
35	1.223e-06
36	1.406e-06
37	1.205e-06
38	1.063e-06
39	1.712e-06
40	2.028e-06
41	1.669e-06
42	1.474e-06
43	1.420e-06
44	1.792e-06
45	1.754e-06
46	1.827e-06
47	2.331e-06
48	1.488e-06
49	1.730e-06
50	1.320e-06
55	3.368e-06
60	1.370e-06
65	1.436e-06
70	1.314e-06
75	1.664e-06
80	1.634e-06
85	2.118e-06
90	2.037e-06
95	2.244e-06
100	1.783e-06
110	3.797e-06
120	2.981e-06
130	2.752e-06
140	3.096e-06
150	3.306e-06
160	2.631e-06
170	2.161e-06
180	2.441e-06
190	3.354e-06
200	3.135e-06
220	5.102e-06
240	4.112e-06
260	3.136e-06
280	2.776e-06
300	3.296e-06
320	2.679e-06
340	2.641e-06
360	5.350e-06
380	3.437e-06
400	3.456e-06
420	1.577e-05
440	6.447e-06
460	4.608e-06
480	5.871e-06
500	7.910e-06
520	9.611e-06
540	5.521e-06
560	5.850e-06
580	5.125e-06
600	7.690e-06
620	6.520e-06
640	6.623e-06
660	6.242e-06
680	6.025e-06
700	8.865e-06
720	9.933e-06
740	1.616e-05
760	8.344e-06
780	8.793e-06
800	1.033e-05
